Recipe,Main produce,Prep time,Serves,Season
Strawberry Spinach Salad,"Strawberry, spinach",15 min,4,Spring
Peach Caprese,"Peach, tomato",20 min,4,Summer
Apple Fennel Slaw,"Apple, fennel",25 min,6,Autumn
Zucchini Corn Fritters,"Zucchini, corn",35 min,4,Summer
Blueberry Beet Salad,"Blueberry, beet",30 min,4,Summer
Roasted Tomato Soup,"Tomato, basil",45 min,6,Summer
Pumpkin Pear Soup,"Pumpkin, pear",50 min,6,Autumn
Cucumber Melon Gazpacho,"Cucumber, melon",15 min,4,Summer
Broccoli Orange Stir-Fry,"Broccoli, orange",25 min,4,Winter
Watermelon Radish Salad,"Watermelon, radish",15 min,4,Summer
