Recipe,Main produce,Prep time,Serves,Season
Strawberry Spinach Salad,"Strawberry, spinach",12 min,4,Spring
Roasted Tomato Soup,"Tomato, basil",45 min,6,Summer
Peach Caprese,"Peach, tomato",20 min,4,Summer
Zucchini Corn Fritters,"Zucchini, corn",35 min,4,Summer
Blueberry Beet Salad,"Blueberry, beet",30 min,4,Summer
Pumpkin Pear Soup,"Pumpkin, pear",50 min,6,Autumn
Carrot Mango Slaw,"Carrot, mango",20 min,6,Summer
Cucumber Melon Gazpacho,"Cucumber, melon",15 min,4,Summer
Broccoli Orange Stir-Fry,"Broccoli, orange",20 min,4,Winter
Watermelon Radish Salad,"Watermelon, radish",15 min,4,Summer
